Run on Darwin 25.6.0
CPU: Apple M2 Max
Cores: 12
Memory: 32.00 GB

| name                                       | met (ms)               | iters | DataMovement (GB/s)  | min (ms)              | mean (ms)              | max (ms)              | duration (ms) |
| ------------------------------------------ | ---------------------- | ----- | -------------------- | --------------------- | ---------------------- | --------------------- | ------------- |
| bench_render_ascii                         | 1e-05                  | 100   | 1.2000000000000002   | 1e-05                 | 1e-05                  | 1e-05                 | 0.001         |
| bench_render_ascii_profile_color           | 6.666666666666667e-06  | 150   | 1.8000000000000005   | 6.666666666666667e-06 | 6.666666666666667e-06  | 6.666666666666667e-06 | 0.001         |
| bench_render_ansi                          | 0.00039                | 100   | 0.030769230769230774 | 0.00039               | 0.00039                | 0.00039               | 0.039         |
| bench_render_ansi_profile_color            | 0.00037999999999999997 | 100   | 0.031578947368421054 | 0.00038               | 0.00037999999999999997 | 0.00038               | 0.038         |
| bench_render_ansi256                       | 0.00047                | 100   | 0.025531914893617027 | 0.00047               | 0.00047                | 0.00047               | 0.047         |
| bench_render_ansi256_profile_color         | 0.00046                | 100   | 0.026086956521739136 | 0.00046               | 0.00046                | 0.00046               | 0.046         |
| bench_render_true_color                    | 0.00015                | 100   | 0.08000000000000002  | 0.00015               | 0.00015                | 0.00015               | 0.015         |
| bench_render_true_color_profile_color      | 0.00014000000000000001 | 100   | 0.08571428571428572  | 0.00014               | 0.00014000000000000001 | 0.00014               | 0.014         |
| bench_render_as_color                      | 0.00016                | 100   | 0.07500000000000001  | 0.00016               | 0.00016                | 0.00016               | 0.016         |
| bench_render_with_background_color         | 0.00016                | 100   | 0.07500000000000001  | 0.00016               | 0.00016                | 0.00016               | 0.016         |
| bench_render_many_ascii                    | 8e-05                  | 100   | 0.15000000000000002  | 8e-05                 | 8e-05                  | 8e-05                 | 0.008         |
| bench_render_many_ascii_profile_color      | 8e-05                  | 100   | 0.15000000000000002  | 8e-05                 | 8e-05                  | 8e-05                 | 0.008         |
| bench_render_many_ansi                     | 0.00048                | 100   | 0.025                | 0.00048               | 0.00048                | 0.00048               | 0.048         |
| bench_render_many_ansi_profile_color       | 0.00047                | 100   | 0.025531914893617027 | 0.00047               | 0.00047                | 0.00047               | 0.047         |
| bench_render_many_ansi256                  | 0.00054                | 100   | 0.022222222222222223 | 0.00054               | 0.00054                | 0.00054               | 0.054         |
| bench_render_many_ansi256_profile_color    | 0.00053                | 100   | 0.022641509433962266 | 0.00053               | 0.00053                | 0.00053               | 0.053         |
| bench_render_many_true_color               | 0.00021999999999999998 | 100   | 0.05454545454545456  | 0.00022               | 0.00021999999999999998 | 0.00022               | 0.022         |
| bench_render_many_true_color_profile_color | 0.00021999999999999998 | 100   | 0.05454545454545456  | 0.00022               | 0.00021999999999999998 | 0.00022               | 0.022         |
| Indent                                     | 3.22328                | 100   | 1.3722375964855675   | 3.22328               | 3.22328                | 3.22328               | 322.328       |
| Dedent                                     | 8.24773                | 100   | 0.5362816193061607   | 8.24773               | 8.24773                | 8.24773               | 824.773       |
| Margin                                     | 7.30885                | 100   | 0.6051712649732859   | 7.30885               | 7.30885                | 7.30885               | 730.885       |
| WordWrap                                   | 22.889960000000002     | 100   | 0.19323345257047195  | 22.88996              | 22.889960000000002     | 22.88996              | 2288.996      |
| Wrap                                       | 8.32907                | 100   | 0.5310444023162251   | 8.32907               | 8.32907                | 8.32907               | 832.907       |
| Truncate                                   | 0.00735                | 100   | 601.7831292517008    | 0.00735               | 0.00735                | 0.00735               | 0.735         |
| Padding                                    | 4.16305                | 100   | 1.062467661930556    | 4.16305               | 4.16305                | 4.16305               | 416.305       |
